FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
13233,Polk,13,0.69887,0.9023,0.931,0.6567,0.3688,Tier 2: High
21023,Bracken,21,0.26878,0.4432,0.2908,0.0337,0.2364,Tier 3: Moderate
28153,Wayne,28,0.7778700000000001,0.9446,0.9739,0.8075,0.4607,Tier 1: Critical
42001,Adams,42,0.27251,0.2135,0.3108,0.3535,0.252,Tier 3: Moderate
04007,Gila,04,0.78052,0.8466,0.6131,0.7668,0.8352,Tier 1: Critical
05111,Poinsett,05,0.6272099999999999,0.8234,0.8546,0.4273,0.4127,Tier 2: High
13231,Pike,13,0.19432999999999997,0.3484,0.0204,0.3847,0.0293,Tier 4: Low
17093,Kendall,17,0.26651,0.0694,0.4537,0.7251,0.0331,Tier 3: Moderate
19101,Jefferson,19,0.63312,0.5339,0.5463,0.4683,0.9001,Tier 2: High
19095,Iowa,19,0.13871,0.0261,0.3245,0.1457,0.1228,Tier 4: Low
31143,Polk,31,0.14212,0.0706,0.2813,0.2628,0.0404,Tier 4: Low
31137,Phelps,31,0.39305,0.174,0.5094,0.2485,0.6309,Tier 3: Moderate
38103,Wells,38,0.31339000000000006,0.1508,0.3557,0.0525,0.6217,Tier 3: Moderate
39045,Fairfield,39,0.28726,0.1594,0.4543,0.4699,0.182,Tier 3: Moderate
18117,Orange,18,0.5400900000000001,0.4601,0.8384,0.1339,0.692,Tier 2: High
46037,Day,46,0.21361999999999998,0.2249,0.111,0.4222,0.1317,Tier 4: Low
48125,Dickens,48,0.6458499999999999,0.8431,0.9446,0.7938,0.1508,Tier 2: High
26137,Otsego,26,0.30333000000000004,0.3322,0.5692,0.0983,0.2339,Tier 3: Moderate
27029,Clearwater,27,0.6989000000000001,0.7381,0.5552,0.4658,0.9109,Tier 2: High
40093,Major,40,0.39942,0.1893,0.8654,0.4741,0.2491,Tier 3: Moderate
48311,McMullen,48,0.67242,0.6933,0.9952,0.9236,0.2689,Tier 2: High
06049,Modoc,06,0.74196,0.693,0.8998,0.5927,0.7852,Tier 2: High
17031,Cook,17,0.74284,0.7754,0.3926,0.9138,0.8298,Tier 2: High
17075,Iroquois,17,0.33682999999999996,0.4092,0.6456,0.3388,0.0573,Tier 3: Moderate
28139,Tippah,28,0.7776700000000001,0.924,0.9061,0.574,0.6815,Tier 1: Critical
27159,Wadena,27,0.6428499999999999,0.5027,0.7604,0.2265,0.9822,Tier 2: High
30051,Liberty,30,0.56747,0.4852,0.9421,0.0048,0.7751,Tier 2: High
29171,Putnam,29,0.3633,0.2409,0.63,0.0525,0.5151,Tier 3: Moderate
48017,Bailey,48,0.75108,0.4712,0.9138,0.966,0.7792,Tier 1: Critical
08121,Washington,08,0.35575,0.2004,0.4928,0.4146,0.3805,Tier 3: Moderate
17189,Washington,17,0.07504,0.0885,0.1168,0.0379,0.0585,Tier 4: Low
19151,Pocahontas,19,0.23462,0.2631,0.4836,0.2323,0.0417,Tier 4: Low
19117,Lucas,19,0.35393,0.3239,0.7302,0.0544,0.3328,Tier 3: Moderate
21087,Green,21,0.5094799999999999,0.8046,0.8918,0.1037,0.23,Tier 2: High
26111,Midland,26,0.25880000000000003,0.1473,0.1257,0.2854,0.4413,Tier 3: Moderate
39119,Muskingum,39,0.48811000000000004,0.4989,0.4795,0.2587,0.636,Tier 3: Moderate
42131,Wyoming,42,0.14753,0.1304,0.1082,0.0821,0.2345,Tier 4: Low
